"Nama Kampanye","Nama Set Iklan","Status Penayangan","Level Penayangan",Jangkauan,"Jenis Keuntungan",Hasil,Impresi,Frekuensi,"Pengaturan atribusi","Jumlah yang dibelanjakan (IDR)","Biaya per Hasil",Mulai,Berakhir,"Awal Pelaporan","Akhir Pelaporan"
"[29/07/2025] Mempromosikan https://facebook.com/61578590276049","[29/07/2025] Mempromosikan https://facebook.com/61578590276049",recently_completed,adset,12830,"Percakapan pesan dimulai",18,16454,1.28246298,"Klik 7 hari atau tayangan 1 hari",77420,4301.11111111,2025-07-29,2025-08-02,2025-08-01,2025-08-06
"mobil 70k","mobil 70 k",not_delivering,adset,0,"Percakapan pesan dimulai",1,0,0,"Klik 7 hari atau tayangan 1 hari",0,0,2025-07-24,2025-07-26,2025-08-01,2025-08-06
"[29/07/2025] Mempromosikan https://facebook.com/61578590276049","[29/07/2025] Mempromosikan https://facebook.com/61578590276049",not_delivering,adset,0,,,0,0,,0,,2025-07-29,2025-07-31,2025-08-01,2025-08-06
"Postingan: ""Supplier & Distributor Es Kristal Karawang....""","Postingan: ""Supplier & Distributor Es Kristal Karawang....""",not_delivering,adset,0,,,0,0,,0,,2025-07-20,2025-07-22,2025-08-01,2025-08-06
"[24/07/2025] Mempromosikan https://facebook.com/61578590276049","[24/07/2025] Mempromosikan https://facebook.com/61578590276049",not_delivering,adset,0,,,0,0,,0,,2025-07-24,2025-07-26,2025-08-01,2025-08-06
"Postingan: ""Supplier & Distributor Es Kristal Karawang....""","Postingan: ""Supplier & Distributor Es Kristal Karawang....""",not_delivering,adset,0,,,0,0,,0,,2025-07-24,2025-07-26,2025-08-01,2025-08-06
"[19/07/2025] Mempromosikan https://facebook.com/61578590276049","[19/07/2025] Mempromosikan https://facebook.com/61578590276049",archived,adset,0,,,0,0,,0,,2025-07-19,2025-07-20,2025-08-01,2025-08-06
"[18/07/2025] Mempromosikan https://facebook.com/61578590276049","[18/07/2025] Mempromosikan https://facebook.com/61578590276049",not_delivering,adset,0,,,0,0,,0,,2025-07-18,2025-07-22,2025-08-01,2025-08-06
"[18/07/2025] Mempromosikan https://eskristalkarawang.com/","[18/07/2025] Mempromosikan https://eskristalkarawang.com/",not_delivering,adset,0,,,0,0,,0,,2025-07-18,2025-07-20,2025-08-01,2025-08-06
"Kampanye Penjualan Baru","Final 1",inactive,adset,0,,,0,0,,0,,2025-07-18,Berlangsung,2025-08-01,2025-08-06
