"Nama Kampanye","Nama Set Iklan","Status Penayangan","Level Penayangan",Jangkauan,"Jenis Keuntungan",Hasil,Impresi,Frekuensi,"Pengaturan atribusi","Jumlah yang dibelanjakan (IDR)","Biaya per Hasil",Mulai,Berakhir,"Awal Pelaporan","Akhir Pelaporan"
"[29/07/2025] Mempromosikan https://facebook.com/61578590276049","[29/07/2025] Mempromosikan https://facebook.com/61578590276049",recently_completed,adset,21950,"Percakapan pesan dimulai",62,40510,1.84555809,"Klik 7 hari atau tayangan 1 hari",230952,3725.03225806,2025-07-29,2025-08-02,2025-07-19,2025-08-07
"[18/07/2025] Mempromosikan https://facebook.com/61578590276049","[18/07/2025] Mempromosikan https://facebook.com/61578590276049",not_delivering,adset,13763,"Percakapan pesan dimulai",42,22950,1.66751435,"Klik 7 hari atau tayangan 1 hari",181811,4328.83333333,2025-07-18,2025-07-22,2025-07-19,2025-08-07
"Postingan: ""Supplier & Distributor Es Kristal Karawang....""","Postingan: ""Supplier & Distributor Es Kristal Karawang....""",not_delivering,adset,14540,"Percakapan pesan dimulai",31,21318,1.46616231,"Klik 7 hari atau tayangan 1 hari",140000,4516.12903226,2025-07-20,2025-07-22,2025-07-19,2025-08-07
"[18/07/2025] Mempromosikan https://eskristalkarawang.com/","[18/07/2025] Mempromosikan https://eskristalkarawang.com/",not_delivering,adset,898,"Tayangan Halaman Landas",27,947,1.0545657,"Klik 7 hari atau tayangan 1 hari",6521,241.51851852,2025-07-18,2025-07-20,2025-07-19,2025-08-07
"mobil 70k","mobil 70 k",not_delivering,adset,10983,"Percakapan pesan dimulai",20,14505,1.32067741,"Klik 7 hari atau tayangan 1 hari",113008,5650.4,2025-07-24,2025-07-26,2025-07-19,2025-08-07
"[24/07/2025] Mempromosikan https://facebook.com/61578590276049","[24/07/2025] Mempromosikan https://facebook.com/61578590276049",not_delivering,adset,7020,"Percakapan pesan dimulai",13,9398,1.33874644,"Klik 7 hari atau tayangan 1 hari",79734,6133.38461538,2025-07-24,2025-07-26,2025-07-19,2025-08-07
"[29/07/2025] Mempromosikan https://facebook.com/61578590276049","[29/07/2025] Mempromosikan https://facebook.com/61578590276049",not_delivering,adset,3264,"Percakapan pesan dimulai",1,3690,1.13051471,"Klik 7 hari atau tayangan 1 hari",34594,34594,2025-07-29,2025-07-31,2025-07-19,2025-08-07
"Postingan: ""Supplier & Distributor Es Kristal Karawang....""","Postingan: ""Supplier & Distributor Es Kristal Karawang....""",not_delivering,adset,41,"Percakapan pesan dimulai",,43,1.04878049,"Klik 7 hari atau tayangan 1 hari",243,,2025-07-24,2025-07-26,2025-07-19,2025-08-07
"[19/07/2025] Mempromosikan https://facebook.com/61578590276049","[19/07/2025] Mempromosikan https://facebook.com/61578590276049",archived,adset,0,,,0,0,,0,,2025-07-19,2025-07-20,2025-07-19,2025-08-07
"Kampanye Penjualan Baru","Final 1",inactive,adset,0,,,0,0,,0,,2025-07-18,Berlangsung,2025-07-19,2025-08-07
